,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,5.06602144241333,0.01588713750243187,5.043455123901367,0.006451612804085016
0,2,4.525722503662109,0.05719369649887085,5.043644428253174,0.006451612804085016
0,3,4.160919189453125,0.09303507953882217,5.006673336029053,0.03082437254488468
0,4,3.8762035369873047,0.13351550698280334,4.715953350067139,0.033691756427288055
0,5,3.5778884887695312,0.1748856157064438,3.7826974391937256,0.16272401809692383
0,6,3.320571184158325,0.21924249827861786,2.7222182750701904,0.3541218638420105
0,7,3.00166916847229,0.2700813412666321,2.393049478530884,0.3777777850627899
0,8,2.7965455055236816,0.31361210346221924,2.021141767501831,0.46164873242378235
0,9,2.5791964530944824,0.35606253147125244,1.8705530166625977,0.47311827540397644
0,10,2.399559497833252,0.39463651180267334,1.6698814630508423,0.5304659605026245
0,11,2.2170474529266357,0.43390950560569763,1.4855937957763672,0.564874529838562
0,12,2.065035343170166,0.468988299369812,1.5010931491851807,0.559856653213501
0,13,1.9441263675689697,0.49720385670661926,1.324461817741394,0.6200717091560364
0,14,1.8366122245788574,0.5183019638061523,1.220960259437561,0.625806450843811
0,15,1.7696559429168701,0.5332359075546265,1.2591040134429932,0.6150537729263306
0,16,1.677884817123413,0.5577656626701355,1.1785399913787842,0.635125458240509
0,17,1.5705571174621582,0.583185076713562,1.0769423246383667,0.6616487503051758
0,18,1.516858458518982,0.5958947539329529,1.0700441598892212,0.6910394430160522
0,19,1.4659925699234009,0.6052999496459961,0.9626138210296631,0.6960573196411133
0,20,1.3923135995864868,0.620678722858429,1.0036455392837524,0.6881720423698425
0,21,1.3334234952926636,0.6361209750175476,0.938633382320404,0.7111111283302307
0,22,1.3023344278335571,0.6440010070800781,0.882496178150177,0.7304659485816956
0,23,1.264777421951294,0.6554397344589233,0.9202301502227783,0.7103942632675171
0,24,1.20835542678833,0.6689755916595459,0.9283761382102966,0.7168458700180054
0,25,1.1582458019256592,0.6843543648719788,0.8328732252120972,0.7383512258529663
0,26,1.1157671213150024,0.6907727718353271,0.8139303922653198,0.7469534277915955
0,27,1.0874582529067993,0.6954753398895264,0.867929220199585,0.7347670197486877
0,28,1.0670626163482666,0.7076131105422974,0.8020049929618835,0.7455196976661682
0,29,1.0162245035171509,0.7111718058586121,0.8818187117576599,0.7297490835189819
0,30,1.0011367797851562,0.7183527946472168,0.8453445434570312,0.7333333492279053
0,31,0.9779298901557922,0.722610592842102,0.7973580360412598,0.7534050345420837
0,32,0.9490542411804199,0.7314438223838806,0.7799403667449951,0.7612903118133545
0,33,0.930539608001709,0.7379893064498901,0.6849106550216675,0.7770609259605408
0,34,0.9056996703147888,0.7472038865089417,0.7031784057617188,0.772042989730835
0,35,0.876959502696991,0.7524148225784302,0.7451542615890503,0.7591397762298584
0,36,0.8367184400558472,0.7626461386680603,0.6912605166435242,0.774193525314331
0,37,0.8251186609268188,0.7663319706916809,0.7252172827720642,0.7663082480430603
0,38,0.8081633448600769,0.7703990936279297,0.7322328090667725,0.7677419185638428
0,39,0.8037809729576111,0.7692552208900452,0.6919461488723755,0.7820788621902466
0,40,0.812614381313324,0.7702720165252686,0.6923328638076782,0.7713261842727661
0,41,0.7591875195503235,0.7832359075546265,0.6185576319694519,0.7885304689407349
0,42,0.76507967710495,0.7796136140823364,0.6798232793807983,0.7777777910232544
0,43,0.7480575442314148,0.7836171984672546,0.670527458190918,0.7792114615440369
0,44,0.7445152401924133,0.7858414053916931,0.672295093536377,0.7827957272529602
0,45,0.7134489417076111,0.7950559258460999,0.7201576828956604,0.7620071768760681
0,46,0.7059261798858643,0.7946746349334717,0.7462050318717957,0.7591397762298584
0,47,0.6807412505149841,0.8016014099121094,0.6397547125816345,0.7985662817955017
0,48,0.6780761480331421,0.8031265735626221,0.7062678337097168,0.7713261842727661
0,49,0.6533257365226746,0.8085282444953918,0.7132368683815002,0.772042989730835
0,50,0.6455933451652527,0.8139933943748474,0.6841148734092712,0.802150547504425
0,51,0.6431718468666077,0.8105617761611938,0.6749491095542908,0.7935484051704407
0,52,0.632284939289093,0.8148195147514343,0.6919296383857727,0.7899641394615173
0,53,0.6265703439712524,0.8193950057029724,0.6825857162475586,0.7849462628364563
0,54,0.6060878038406372,0.8204118013381958,0.6504709720611572,0.7849462628364563
0,55,0.6125220656394958,0.8201575875282288,0.6503744125366211,0.8064516186714172
0,56,0.5924588441848755,0.8274657130241394,0.6583935618400574,0.790681004524231
0,57,0.5853389501571655,0.8267030715942383,0.7008705735206604,0.7856630682945251
0,58,0.5820918679237366,0.8338205218315125,0.6152945756912231,0.8050179481506348
0,59,0.5690298080444336,0.8343924880027771,0.761953592300415,0.7727598547935486
0,60,0.5534325838088989,0.8389044404029846,0.690146803855896,0.7978494763374329
0,61,0.5635401010513306,0.8343289494514465,0.6678000092506409,0.7985662817955017
0,62,0.5507640242576599,0.8415099382400513,0.6576351523399353,0.7992831468582153
