,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,5.06602144241333,0.01588713750243187,5.043455123901367,0.006451612804085016
0,2,4.525722503662109,0.05719369649887085,5.043644428253174,0.006451612804085016
0,3,4.160919189453125,0.09303507953882217,5.006673336029053,0.03082437254488468
0,4,3.8762035369873047,0.13351550698280334,4.715953350067139,0.033691756427288055
0,5,3.5778884887695312,0.1748856157064438,3.7826974391937256,0.16272401809692383
0,6,3.320571184158325,0.21924249827861786,2.7222182750701904,0.3541218638420105
0,7,3.00166916847229,0.2700813412666321,2.393049478530884,0.3777777850627899
0,8,2.7965455055236816,0.31361210346221924,2.021141767501831,0.46164873242378235
0,9,2.5791964530944824,0.35606253147125244,1.8705530166625977,0.47311827540397644
0,10,2.399559497833252,0.39463651180267334,1.6698814630508423,0.5304659605026245
0,11,1.4136675596237183,0.8023639917373657,1.1734654903411865,0.8716846108436584
0,12,1.4004992246627808,0.8063040375709534,1.2147817611694336,0.8401433825492859
0,13,1.3692994117736816,0.8054778575897217,1.0711419582366943,0.8946236371994019
0,14,1.3287204504013062,0.8260040879249573,1.2017215490341187,0.8602150678634644
0,15,1.3313177824020386,0.8340747356414795,1.081782341003418,0.8974910378456116
0,16,1.303124189376831,0.8380783200263977,1.1001441478729248,0.8774193525314331
0,17,1.3033071756362915,0.8355998992919922,1.1027302742004395,0.9096774458885193
0,18,1.299533724784851,0.8382053971290588,1.082646369934082,0.8860214948654175
0,19,1.3127237558364868,0.8382053971290588,1.0736204385757446,0.9075269103050232
0,20,1.2806471586227417,0.8437976837158203,1.152712345123291,0.8731182813644409
0,21,1.2444076538085938,0.8476741313934326,1.1432490348815918,0.8903225660324097
0,22,1.2911877632141113,0.843988299369812,1.0567365884780884,0.8974910378456116
0,23,1.2846431732177734,0.8436705470085144,1.3743889331817627,0.8258064389228821
0,24,1.268527865409851,0.8455770015716553,1.0319159030914307,0.9046595096588135
0,25,1.2551299333572388,0.8466573357582092,1.0026899576187134,0.9168458580970764
0,26,1.2342066764831543,0.8526309132575989,0.9895839691162109,0.9218637943267822
0,27,1.2323241233825684,0.8505337834358215,1.119640588760376,0.8903225660324097
0,28,1.2579697370529175,0.8500889539718628,1.0295082330703735,0.9103942513465881
0,29,1.2172988653182983,0.8553634881973267,1.0316028594970703,0.8960573673248291
0,30,1.2430446147918701,0.8508515357971191,1.1133183240890503,0.8853046298027039
0,31,1.2102326154708862,0.8605109453201294,1.060555338859558,0.8931899666786194
0,32,1.250105857849121,0.8500254154205322,1.0976791381835938,0.8946236371994019
0,33,1.2325537204742432,0.8542831540107727,1.095155119895935,0.8896057605743408
0,34,1.2196698188781738,0.850978672504425,1.1342755556106567,0.8795698881149292
0,35,1.2028374671936035,0.859494149684906,1.0289281606674194,0.9003584384918213
0,36,1.2144361734390259,0.8567615747451782,1.034010410308838,0.9046595096588135
0,37,1.201256513595581,0.859748363494873,1.0534921884536743,0.9025089740753174
0,38,1.2167160511016846,0.8543466925621033,1.0847169160842896,0.8953405022621155
0,39,1.205794095993042,0.8620996475219727,1.0447914600372314,0.9125447869300842
0,40,1.1901432275772095,0.8600025177001953,1.0069129467010498,0.9096774458885193
0,41,1.1698050498962402,0.8632435202598572,1.1049529314041138,0.875268816947937
0,42,1.1887316703796387,0.8602567315101624,1.010738492012024,0.9125447869300842
0,43,1.1906728744506836,0.8642603158950806,0.9910774230957031,0.9103942513465881
0,44,1.1966304779052734,0.858540952205658,0.9907212853431702,0.9204301238059998
0,45,1.1692662239074707,0.8650864362716675,0.9724767804145813,0.9046595096588135
0,46,1.1806107759475708,0.8588586449623108,0.9587938785552979,0.908243715763092
0,47,1.1710326671600342,0.864895761013031,0.9765984416007996,0.9132616519927979
0,48,1.1678375005722046,0.8658490180969238,1.029366135597229,0.9125447869300842
0,49,1.1816365718841553,0.8659125566482544,1.046995759010315,0.8924731016159058
0,50,1.157202124595642,0.8654677271842957,1.0616930723190308,0.8996415734291077
0,51,1.1786617040634155,0.8620361089706421,1.0316746234893799,0.9032257795333862
0,52,1.141908049583435,0.8704245090484619,1.0092600584030151,0.8960573673248291
0,53,1.1548055410385132,0.866484522819519,1.0361406803131104,0.8982079029083252
0,54,1.1356996297836304,0.8712506294250488,0.9317489862442017,0.9211469292640686
0,55,1.1505728960037231,0.8669928908348083,1.133340835571289,0.8946236371994019
0,56,1.1379423141479492,0.8708693385124207,0.959270179271698,0.9168458580970764
0,57,1.1454881429672241,0.8674377202987671,0.9582901000976562,0.9297491312026978
0,58,1.1485683917999268,0.8679460883140564,1.004598617553711,0.9103942513465881
0,59,1.1191402673721313,0.8714413046836853,1.045554757118225,0.9046595096588135
0,60,1.1465953588485718,0.8686451315879822,1.017661213874817,0.9168458580970764
0,61,1.1302242279052734,0.8711870908737183,0.966278076171875,0.8982079029083252
0,62,1.1277039051055908,0.8732206225395203,0.9899700880050659,0.9139785170555115
